Sprog	Dansk	Engelsk	Fransk
Update_CurrentVerStr	 @@@Din nuværende version er: 	 @@@The current version is: 	 @@@La version actuelle est :
Update_WaitMsgStr	 @@@Vent venligst mens opdateringen downloades...	 @@@Please wait while the update is downloaded…	 @@@Patienter pendant la mise à jour est téléchargée ...
Update_SearchStr	 @@@Søg efter opdatering	 @@@Check for update	 @@@Vérifier pour le mis à jour
Update_CancelBtn	 ;Annuller	 ;Cancel	 ;Annuler
UpdateProgram_btn	 ;Opdater	 ;Update	 ;Mis à jour
Update_CheckVersionsBtn	 ;Søg efter opdatering	 ;Check for update	 ;Cherche pour mis à jour
Update_TitleStr	 @@@Opdater program	 @@@Update program	 @@@Programme Mise à jour
JournalPositionLabel	a@@@Journal position i Excel	a@@@Journal position in Excel	a@@@Journal poste dans Excel
CellStr1	Venstre/Øverst	Left/Upper	Gauche/Haut
CellStr2	Højre/Nederst	Right/Lower	Droite/Bas
